window_label,event_type,event_label,published_age_ka,published_order,source_file
0.4-4,weak_monsoon_start,Weak monsoon starts,367.35,71,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,368.65,72,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,369.55,73,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,371.55,74,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,371.95,75,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,378.65,76,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,398.85,77,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,430.15,78,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,441.85,79,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,453.55,80,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,457.6,81,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,460.15,82,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,467.35,83,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,475.35,84,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,479.05,85,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,500.1,86,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,513.95,87,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,521.95,88,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,535.0,89,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,552.7,90,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,554.2,91,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,556.95,92,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,560.45,93,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,569.5,94,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,589.8,95,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,614.9,96,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
