transition_id,age_ka,jump_direction,event_type,window_label,d_cut,sigma_cut,change_cut,change_cut_setting,edge_nan_ksstat,best_for_window
135,191.805,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
136,193.275,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
137,201.125,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
138,209.21,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
139,221.02880523543064,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
140,228.64578952007938,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
141,232.6122120849276,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
142,234.14442247686108,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
143,246.3985,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
144,246.858,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
145,250.0685,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
146,252.1055,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
147,256.0625,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
148,259.629,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
149,276.91610000000003,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
150,285.549,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
151,308.48655,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
152,318.0365,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
153,324.273,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
154,326.265,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
155,341.126,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
156,342.657,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
157,345.528,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
158,349.5665,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
159,364.34450000000004,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
160,367.3805,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
161,369.307,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
162,371.6965,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
163,372.62850000000003,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
164,378.446,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
165,398.8242668639125,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
166,400.892521091661,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
167,430.43603283111156,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
