window_label,d_cut,sigma_cut,change_cut_setting,edge_nan_ksstat,match_tolerance_ka,n_detected_total,n_published_total,n_matched_total,n_unmatched_detected_total,n_unmatched_published_total,median_abs_age_error_ka,mean_abs_age_error_ka,precision_total,recall_total,f1_total,unmatched_total
0.6-4,0.77,2.0,0.2,False,0.8,219,177,146,73,31,0.03155000000002417,0.10524264575308372,0.6666666666666666,0.8248587570621468,0.7373737373737373,104
0.6-4,0.72,2.0,0.2,False,0.8,224,177,147,77,30,0.02866121560224144,0.10080192173817717,0.65625,0.8305084745762712,0.7331670822942644,107
0.6-4,0.7,2.0,0.2,False,0.8,226,177,147,79,30,0.02866121560224144,0.10080192173817717,0.6504424778761062,0.8305084745762712,0.7295285359801489,109
0.6-4,0.68,2.0,0.2,False,0.8,227,177,147,80,30,0.02866121560224144,0.10080192173817717,0.6475770925110133,0.8305084745762712,0.7277227722772278,110
0.6-4,0.77,2.0,0.0,False,0.8,225,177,146,79,31,0.03155000000002417,0.10524264575308372,0.6488888888888888,0.8248587570621468,0.72636815920398,110
0.6-4,0.75,2.0,0.0,False,0.8,228,177,147,81,30,0.03046250000002715,0.10355341720812006,0.6447368421052632,0.8305084745762712,0.7259259259259259,111
0.6-4,0.72,2.0,0.0,False,0.8,232,177,147,85,30,0.02866121560224144,0.10080192173817717,0.6336206896551724,0.8305084745762712,0.7188264058679706,115
0.6-4,0.77,1.5,0.2,False,0.8,236,177,149,87,28,0.033474999999979715,0.11847912796840881,0.6313559322033898,0.8418079096045198,0.721549636803874,115
0.6-4,0.75,1.5,0.2,False,0.8,239,177,150,89,27,0.042474999999996044,0.1202357198262008,0.6276150627615062,0.847457627118644,0.7211538461538461,116
0.6-4,0.7,2.0,0.0,False,0.8,234,177,147,87,30,0.02866121560224144,0.10080192173817717,0.6282051282051282,0.8305084745762712,0.7153284671532847,117
