age_ka,d18o_raw,d18o_lowpass_10kyr,d18o_residual_lt10kyr
12.4,-8.292081632653078,-9.1285334592664,0.8364518266133221
12.5,-8.616134615384617,-9.081890108717666,0.4657554933330488
12.6,-8.683317073170729,-9.035556570294293,0.3522394971235645
12.7,-8.745323529411731,-8.989592082042762,0.24426855263103064
12.8,-9.558176470588245,-8.944054476019774,-0.614121994568471
12.9,-9.463130434782599,-8.899000114733903,-0.5641303200486956
13.0,-9.106,-8.85448382982754,-0.25151617017245975
13.1,-9.756666666666653,-8.810558861568342,-0.9461078050983112
13.2,-9.07120000000003,-8.767276797777821,-0.30392320222220803
13.3,-9.842444444444453,-8.724687510927327,-1.1177569335171267
13.4,-10.196319999999936,-8.68283909226107,-1.5134809077388667
13.5,-9.27476000000001,-8.641777781959883,-0.6329822180401266
13.6,-9.682,-8.60154789454723,-1.0804521054527711
13.7,-10.072222222222228,-8.562191738964485,-1.5100304832577436
13.8,-9.69200000000001,-8.523749532993481,-1.16825046700653
13.9,-8.998199999999995,-8.486259311967236,-0.5119406880327588
14.0,-9.138111111111112,-8.449756831980702,-0.6883542791304098
14.1,-9.682115384615384,-8.414275468083227,-1.2678399165321572
14.2,-9.144678571428653,-8.379846108183765,-0.764832463244888
14.3,-9.351714285714296,-8.346497043622378,-1.005217242091918
14.4,-9.034714285714273,-8.314253857574686,-0.720460428139587
14.5,-8.587735294117646,-8.283139312674189,-0.3045959814434571
14.6,-9.027,-8.253173239455093,-0.7738267605449067
14.7,-7.428740740740665,-8.224372427417027,0.7956316866763622
14.8,-7.622459459459472,-8.196750520675531,0.5742910612160586
14.9,-7.688442622950818,-8.170317920269833,0.48187529731901435
15.0,-7.364142857142859,-8.14508169523269,0.7809388380898312
15.1,-6.917350877192971,-8.121045504479357,1.203694627286386
15.2,-7.263974358974389,-8.098209531459236,0.8342351724848474
15.3,-7.11748780487805,-8.076570433355231,0.959082628477181
15.4,-7.031124999999998,-8.0561213064228,1.0249963064228016
15.5,-7.700176470588235,-8.03685166884294,0.3366751982547056
15.6,-7.582899999999948,-8.018747462237231,0.435847462237283
15.7,-7.090918918918974,-8.001791072778492,0.9108721538595175
15.8,-6.5417,-7.985961372641342,1.4442613726413427
15.9,-6.556897959183677,-7.9712337823670145,1.4143358231833378
16.0,-6.663094594594597,-7.9575803545354,1.2944857599408035
16.1,-6.2201666666665645,-7.944969878909696,1.7248032122431312
16.2,-7.798080000000022,-7.933368008936007,0.13528800893598536
16.3,-7.41010256410255,-7.922737409164862,0.5126348450623119
16.4,-7.34813157894738,-7.913037922854238,0.5649063439068573
16.5,-7.9571785714285355,-7.904226758755255,-0.05295181267328086
16.6,-6.9217037037036855,-7.896258695891276,0.9745549921875902
16.7,-7.559310344827638,-7.889086305006249,0.329775960178611
16.8,-7.733833333333334,-7.882660185249449,0.1488268519161151
16.9,-7.1541794871793565,-7.876929214558345,0.7227497273789885
17.0,-7.329105263157891,-7.871840812092628,0.5427355489347372
17.1,-7.816111111111088,-7.867341210963792,0.051230099852704214
17.2,-8.16394594594593,-7.863375739398039,-0.30057020654789035
17.3,-8.286,-7.859889108370485,-0.42611089162951465
17.4,-8.100627118644034,-7.856825703675302,-0.24380141496873264
17.5,-8.064499999999995,-7.8541298803728985,-0.21037011962709684
17.6,-7.662500000000029,-7.851746257582986,0.18924625758295743
17.7,-7.320222222222209,-7.849620011647252,0.529397789425043
17.8,-7.576749999999995,-7.847697165733281,0.27094716573328537
17.9,-8.469232876712342,-7.845924873966308,-0.6233080027460334
18.0,-9.185009523809505,-7.844251698154592,-1.3407578256549133
18.1,-8.39714423076923,-7.8426278751496366,-0.5545163556195938
18.2,-8.444599999999976,-7.841005572906767,-0.603594427093209
18.3,-8.470500000000001,-7.839339133414654,-0.631160866585347
18.4,-8.639804347826084,-7.837585300824668,-0.8022190470014161
18.5,-7.980000000000002,-7.835703433288552,-0.14429656671144997
18.6,-8.429813559322033,-7.833655697179479,-0.5961578621425545
18.7,-10.052333333333321,-7.831407242524578,-2.220926090808743
18.8,-8.959000000000005,-7.828926358627157,-1.1300736413728476
18.9,-8.788666666666566,-7.826184609031599,-0.9624820576349675
19.0,-8.64,-7.823156945214535,-0.8168430547854655
19.1,-8.324333333333293,-7.819821798668696,-0.504511534664597
19.2,-8.605863636363626,-7.816161151334747,-0.7897024850288794
19.3,-8.2180412371134,-7.8121605845879385,-0.4058806525254619
19.4,-7.912333333333342,-7.807809307190726,-0.10452402614261569
19.5,-8.10948717948719,-7.803100162789969,-0.30638701669722046
19.6,-7.715249999999992,-7.798029617673611,0.08277961767361841
19.7,-7.899000000000063,-7.7925977296046,-0.10640227039546346
