driver,driver_label,age_ka,source,value,phase_unwrapped_rad,phase_rad,phase_deg,phase_extrapolated
obl,Obliquity,591.5,data/raw/obl_800_inter100.txt,0.403878,93.05031155587706,5.085717255362852,291.39013452914816,False
obl,Obliquity,591.6,data/raw/obl_800_inter100.txt,0.403726,93.0643994153102,5.099805114795998,292.197309417041,False
obl,Obliquity,591.7,data/raw/obl_800_inter100.txt,0.403574,93.07848727474334,5.113892974229131,293.0044843049331,False
obl,Obliquity,591.8,data/raw/obl_800_inter100.txt,0.403423,93.09257513417647,5.127980833662264,293.8116591928251,False
obl,Obliquity,591.9,data/raw/obl_800_inter100.txt,0.403273,93.1066629936096,5.142068693095396,294.6188340807172,False
obl,Obliquity,592.0,data/raw/obl_800_inter100.txt,0.403124,93.12075085304275,5.156156552528543,295.42600896861006,False
obl,Obliquity,592.1,data/raw/obl_800_inter100.txt,0.402976,93.1348387124759,5.17024441196169,296.23318385650293,False
obl,Obliquity,592.2,data/raw/obl_800_inter100.txt,0.402829,93.14892657190903,5.1843322713948226,297.040358744395,False
obl,Obliquity,592.3,data/raw/obl_800_inter100.txt,0.402682,93.16301443134216,5.198420130827955,297.8475336322871,False
obl,Obliquity,592.4,data/raw/obl_800_inter100.txt,0.402537,93.1771022907753,5.212507990261088,298.65470852017916,False
obl,Obliquity,592.5,data/raw/obl_800_inter100.txt,0.402393,93.19119015020844,5.226595849694235,299.461883408072,False
obl,Obliquity,592.6,data/raw/obl_800_inter100.txt,0.402249,93.20527800964159,5.2406837091273815,300.2690582959649,False
obl,Obliquity,592.7,data/raw/obl_800_inter100.txt,0.402107,93.21936586907472,5.254771568560514,301.07623318385697,False
obl,Obliquity,592.8,data/raw/obl_800_inter100.txt,0.401966,93.23345372850785,5.268859427993647,301.88340807174905,False
obl,Obliquity,592.9,data/raw/obl_800_inter100.txt,0.401826,93.24754158794099,5.282947287426779,302.6905829596411,False
obl,Obliquity,593.0,data/raw/obl_800_inter100.txt,0.401687,93.26162944737413,5.297035146859926,303.497757847534,False
