realization_id,sampled_age_ka,event_index,event_type,event_label,event_short_label,published_start_age_ka,age_error_2sigma_kyr,age_sigma_kyr,sampling_lower_bound_ka,sampling_upper_bound_ka,truncated_gaussian_mass_kept,sampled_minus_published_ka
1,25.298256386958,4,weak_monsoon_start,Weak monsoon starts,Weak,24.59,1.0799347414269558,0.5399673707134779,23.510065258573043,25.619999999999997,0.9490233988404114,0.7082563869579985
1,26.249444771968946,5,weak_monsoon_start,Weak monsoon starts,Weak,26.65,1.0869144243326474,0.5434572121663237,25.619999999999997,27.1025,0.7684458219503099,-0.4005552280310525
1,27.774661163693285,6,weak_monsoon_start,Weak monsoon starts,Weak,27.555,1.08999498712966,0.54499749356483,27.1025,28.134999999999998,0.653196109767159,0.21966116369328503
1,28.32564078492647,7,weak_monsoon_start,Weak monsoon starts,Weak,28.715,1.0939563234298006,0.5469781617149003,28.134999999999998,29.567500000000003,0.7959622595867346,-0.38935921507352944
1,29.687209709725888,8,weak_monsoon_start,Weak monsoon starts,Weak,30.42,1.0998049520378248,0.5499024760189124,29.567500000000003,31.1975,0.8607646924912418,-0.7327902902741137
1,32.25558110100827,9,weak_monsoon_start,Weak monsoon starts,Weak,31.975,1.1051663022538403,0.5525831511269201,31.1975,32.697500000000005,0.8247682300062342,0.2805811010082664
1,33.28320453283126,10,weak_monsoon_start,Weak monsoon starts,Weak,33.42,1.1101718149116035,0.5550859074558018,32.697500000000005,34.085,0.7880174516619389,-0.13679546716873858
1,35.05964139887662,11,weak_monsoon_start,Weak monsoon starts,Weak,34.75,1.1147989923661683,0.5573994961830842,34.085,35.75,0.8471702213013954,0.30964139887662157
1,36.46601049893194,12,weak_monsoon_start,Weak monsoon starts,Weak,36.75,1.1217934970256709,0.5608967485128354,35.75,37.87179349702567,0.9399452654130759,-0.28398950106806353
1,40.4073755165757,13,weak_monsoon_start,Weak monsoon starts,Weak,39.955,1.1330938051501196,0.5665469025750598,38.82190619484988,41.088093805150116,0.9544997361036414,0.4523755165756995
1,42.289690785904256,14,weak_monsoon_start,Weak monsoon starts,Weak,42.475,1.1420588107268401,0.5710294053634201,41.332941189273164,43.480000000000004,0.9380442197895917,-0.18530921409574574
1,43.94523050676548,15,weak_monsoon_start,Weak monsoon starts,Weak,44.485,1.1492602784778165,0.5746301392389083,43.480000000000004,45.1075,0.8205138429588205,-0.5397694932345161
1,46.559128337554185,16,weak_monsoon_start,Weak monsoon starts,Weak,45.73,1.1537436496739284,0.5768718248369642,45.1075,46.883743649673924,0.836977370536337,0.829128337554188
1,48.224722538765015,17,weak_monsoon_start,Weak monsoon starts,Weak,48.47,1.163672385138777,0.5818361925693885,47.306327614861225,48.695,0.6277632196114188,-0.24527746123498417
1,49.24294369283451,18,weak_monsoon_start,Weak monsoon starts,Weak,48.92,1.1653111442730066,0.5826555721365033,48.695,50.08531114427301,0.6275618759042987,0.32294369283450663
1,55.41669732697734,19,weak_monsoon_start,Weak monsoon starts,Weak,55.23,1.1885350208270575,0.5942675104135288,54.041464979172936,55.775,0.7977035423160352,0.1866973269773453
1,56.13474826138689,20,weak_monsoon_start,Weak monsoon starts,Weak,56.32,1.192593376240635,0.5962966881203176,55.775,57.51259337624064,0.7968847599373307,-0.18525173861311117
1,67.61039848177678,21,weak_monsoon_start,Weak monsoon starts,Weak,68.655,1.2394969984443178,0.6197484992221589,67.41550300155568,69.11500000000001,0.7482778603208408,-1.0446015182232173
1,69.78059366193916,22,weak_monsoon_start,Weak monsoon starts,Weak,69.575,1.2430683149062778,0.6215341574531389,69.11500000000001,69.86500000000001,0.44998403958436534,0.20559366193916162
1,71.01455264792517,23,weak_monsoon_start,Weak monsoon starts,Weak,70.155,1.2453250900468003,0.6226625450234001,69.86500000000001,71.4003250900468,0.6565497184624685,0.8595526479251703
1,73.08584279913764,24,weak_monsoon_start,Weak monsoon starts,Weak,73.4,1.2580271477623868,0.6290135738811934,72.14197285223761,74.6580271477624,0.9544997361036422,-0.3141572008623683
1,78.16881126339806,25,weak_monsoon_start,Weak monsoon starts,Weak,77.51,1.2743012578081439,0.6371506289040719,76.23569874219186,78.78430125780815,0.9544997361036422,0.6588112633980501
1,87.14097723932575,26,weak_monsoon_start,Weak monsoon starts,Weak,88.425,1.3185499569882535,0.6592749784941268,87.10645004301175,89.74354995698825,0.9544997361036409,-1.2840227606742474
1,99.39661078544863,27,weak_monsoon_start,Weak monsoon starts,Weak,98.65,1.3613944266462097,0.6806972133231048,97.28860557335379,99.5,0.8713660562264416,0.7466107854486239
1,100.09206375721214,28,weak_monsoon_start,Weak monsoon starts,Weak,100.35,1.3686513111121463,0.6843256555560732,99.5,101.71865131111214,0.8701497920472616,-0.2579362427878493
1,105.23739812027829,29,weak_monsoon_start,Weak monsoon starts,Weak,105.75,1.391960656222209,0.6959803281111046,104.35803934377779,106.05,0.6440326483741473,-0.5126018797217142
