age_ka,d18o_raw,d18o_precession_band,d18o_highfreq_lt1kyr,d18o_precession_plus_highfreq,d18o_precession_band_plus_mean,d18o_highfreq_lt1kyr_plus_mean
18.4,-8.639804347826084,0.46007815690174214,0.008231730032902285,-8.243323462889794,-8.251555192922696,-8.703401619791537
18.5,-7.980000000000002,0.47163984343788407,0.7585540504594648,-7.48143945592709,-8.239993506386554,-7.953079299364974
18.6,-8.429813559322033,0.48281040077805026,0.39749610107350064,-7.831326847972888,-8.22882294904639,-8.314137248750939
18.7,-10.052333333333321,0.49357942445948644,-1.1610710168718978,-9.37912494223685,-8.218053925364952,-9.872704366696336
18.8,-8.959000000000005,0.5039368628406793,-0.05401692333775851,-8.261713410321518,-8.20769648698376,-8.765650273162198
18.9,-8.788666666666566,0.5138730267481946,0.06475310638259674,-8.133007216693647,-8.197760323076244,-8.646880243441842
19.0,-8.64,0.5233785987876753,0.09898408162732439,-8.089270669409439,-8.188254751036764,-8.612649268197114
19.1,-8.324333333333293,0.5324446423098554,0.2557603392738431,-7.9234283682407405,-8.179188707514584,-8.455873010550595
19.2,-8.605863636363626,0.5410626100227788,-0.20217554589087489,-8.372746285692536,-8.17057073980166,-8.913808895715313
19.3,-8.2180412371134,0.5492243522417524,0.018178220683903196,-8.144230776898784,-8.162408997582686,-8.693455129140535
19.4,-7.912333333333342,0.5569221247689169,0.18415000669897358,-7.970561218356548,-8.154711225055522,-8.527483343125466
19.5,-8.10948717948719,0.5641485963946715,-0.11759717812183867,-8.265081931551606,-8.147484753429767,-8.829230527946278
19.6,-7.715249999999992,0.570896856013559,0.20342780109289788,-7.937308692717982,-8.14073649381088,-8.50820554873154
19.7,-7.899000000000063,0.5771604193475878,-0.03324721920003272,-8.167720149676883,-8.134472930476852,-8.744880569024472
19.8,-8.191538461538462,0.5829332352703515,-0.37080139438571125,-8.4995015089398,-8.128700114554087,-9.08243474421015
19.9,-7.758837209302305,0.5882096917256886,0.016885848940804485,-8.106537809157945,-8.12342365809875,-8.694747500883635
20.0,-7.563333333333346,0.5929846212350226,0.16679621293629726,-7.951852515653119,-8.118648728589417,-8.544837136888141
20.1,-7.739104477611925,0.5972533059879181,-0.049589654024381674,-8.163969697860903,-8.11438004383652,-8.761223003848821
20.2,-7.665,0.6010114825107958,-0.003603996867426674,-8.11422586418107,-8.110621867313643,-8.715237346691865
20.3,-7.481551724137916,0.604255345909155,0.16892757531426672,-7.938450428601017,-8.107378003915283,-8.542705774510171
20.4,-7.604000000000001,0.6069815536790697,0.05161887779975636,-8.053032918345613,-8.104651796145369,-8.660014472024683
20.5,-7.73813559322034,0.6091872290841408,-0.06833424886138866,-8.170780369601687,-8.102446120740298,-8.779967598685827
20.6,-7.771428571428574,0.6108699640945082,-0.08842600143000087,-8.189189387159931,-8.10076338572993,-8.80005935125444
20.7,-7.9433333333333325,0.6120278218849535,-0.25701064344806124,-8.356616171387547,-8.099605527939485,-8.9686439932725
20.8,-7.3297435897435905,0.6126593388895505,0.345474050634457,-7.753499960300431,-8.098974010934889,-8.366159299189981
20.9,-7.778974358974365,0.6127635264107532,-0.1284897449218943,-8.22735956833558,-8.098869823413686,-8.840123094746334
21.0,-7.440641025641025,0.6123398717812427,0.17660712342792462,-7.922686354615271,-8.099293478043196,-8.535026226396514
21.1,-7.797777777777778,0.6113883390772885,-0.2146740055477636,-8.314919016294914,-8.10024501074715,-8.926307355372202
21.2,-7.6085714285714285,0.609909369382816,-0.05234307374597656,-8.1540670541876,-8.101723980441623,-8.763976423570416
21.3,-7.356999999999996,0.60790388060381,0.18651762206185737,-7.917211847158772,-8.103729469220628,-8.525115727762582
21.4,-7.4486075949367105,0.6053732668331175,0.10010419141362606,-8.006155891577695,-8.106260082991321,-8.611529158410812
21.5,-7.946835443037991,0.6023193972661542,-0.375928899923533,-8.485242852481818,-8.109313952558285,-9.087562249747972
21.6,-7.423444444444443,0.5987446146684514,0.1805267219537619,-7.9323620132022254,-8.112888735155988,-8.531106627870678
21.7,-7.496666666666669,0.5946517333964187,0.14047249560883868,-7.976509120819181,-8.11698161642802,-8.5711608542156
21.8,-7.502195121951218,0.5900440369731311,0.15487569535402335,-7.966713617497284,-8.121589312851308,-8.556757654470415
21.9,-7.625104895104903,0.5849252752213809,0.026682917275807454,-8.10002515732725,-8.126708074603059,-8.68495043254863
