realization_id,catalogue_kind,event_type,event_label,n_events,lohmann_event_count_ES,lohmann_poisson_ES_p_value,lohmann_fixed_n_ES_p_value,rayleigh_pre_n_phase_events_used,rayleigh_pre_n_extrapolated,rayleigh_pre_mean_phase_deg,rayleigh_pre_mean_resultant_length,rayleigh_pre_z,rayleigh_pre_p_value,n_hazard_bins_after_history_filter,n_hazard_events_after_history_filter,precession_phase_after_adjusted_climate_LR_statistic,precession_phase_after_adjusted_climate_LR_p_value,precession_phase_after_adjusted_climate_delta_AICc,precession_phase_after_adjusted_climate_bits_per_event,full_vs_adjusted_baseline_LR_statistic,full_vs_adjusted_baseline_LR_p_value,full_vs_adjusted_baseline_delta_AICc,full_model_converged,full_model_log_likelihood,adjusted_climate_model_log_likelihood,adjusted_baseline_log_likelihood,stationary_log_likelihood,full_model_pre_phase_preferred_deg,full_model_pre_phase_rate_ratio_max_vs_min
423,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0074835804313285,0.07618476304739052,0.04859028194361128,96,0,12.71142992285124,0.25622901184272334,6.302717424950252,0.001702173854200002,3175,95,20.70112057251424,3.1974869677911435e-05,-16.68468929154335,0.15718633679374103,33.52509329386305,9.324460639540457e-07,-25.497297185760317,True,-404.187379344128,-414.5379396303851,-420.9499259910595,-428.372671873993,355.1730459937629,4.185288646469282
423,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.1810914672964357,0.02579484103179364,0.01199760047990402,100,0,217.58423322295533,0.2415512040850528,5.834698419493883,0.0027604152448097536,3175,99,17.15479580774138,0.00018831435247741363,-13.138364526770488,0.12499565070349127,44.907125187442034,4.15671728905589e-09,-36.8793290793393,True,-416.6072092818835,-425.1846071857542,-439.06077187560453,-442.326363058027,222.7069154098429,3.5030667735723804
424,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.01445918094165,0.07198560287942411,0.04539092181563687,96,0,21.868753489561627,0.21228479434010838,4.3262240551701225,0.012867805366769076,3175,95,13.628955877932981,0.0010977661475338133,-9.61252459696209,0.10348645819783368,25.098261133179108,4.807211944862779e-05,-17.070465025076373,True,-409.6423343538026,-416.4568122927691,-422.19146492039215,-428.3726718739946,2.631893558772718,3.1195271313422124
424,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.1830496144511033,0.02519496100779844,0.011797640471905619,100,0,224.90773015704514,0.24733664419224805,6.117541556028271,0.00206508200456059,3175,98,16.836435203585552,0.00022080786984274436,-12.82000392261466,0.12392776313500634,39.820972716239226,4.7135680009444043e-08,-31.79317660813649,True,-414.5677303927624,-422.9859479945552,-434.47821675088204,-438.853352400312,230.05555997921655,3.526793667294785
425,age_randomized,strong_monsoon_start,Strong monsoon starts,96,1.9947528718292584,0.08518296340731854,0.05378924215156969,96,0,13.754164059011504,0.233424225246902,5.2307394174831785,0.005112826499570723,3175,95,17.824035190857103,0.00013475966902949207,-13.807603909886211,0.135340248307789,31.472304942440473,2.452061955185076e-06,-23.44450883433774,True,-405.87594837067,-414.78796596609857,-421.61210084189025,-428.37267187399533,354.60439631058057,3.7297581966315785
425,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.154388749036152,0.03159368126374725,0.016796640671865627,100,0,226.50958111813685,0.2216690335384884,4.91371604298875,0.007080451160011555,3175,99,15.062454488471758,0.0005360799517868324,-11.046023207500866,0.10975014340471673,42.85702628509068,1.1079380319926705e-08,-34.82923017698795,True,-415.91295100569596,-423.44417824993184,-437.3414641482413,-442.32636305802856,230.11351245237344,3.2704726739978636
426,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.000725440829902,0.08058388322335533,0.05058988202359528,96,0,26.263250617829843,0.2150636486530637,4.440227805308969,0.011457558613879489,3175,95,14.426319853166774,0.0007368251595263891,-10.409888572195882,0.10954094794969318,28.10673361138572,1.18668099845522e-05,-20.078937503282987,True,-409.676344614837,-416.88950454142037,-423.72971142052984,-428.37267187399414,3.1357695357462783,3.230110175534231
426,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.1877530719229905,0.02399520095980804,0.011397720455908818,100,0,234.4122698780874,0.18272240444655516,3.3387477086730484,0.035080952845471684,3175,99,10.657925588421449,0.004849096916225621,-6.641494307450557,0.07765725450797582,36.399945903189064,2.394157919408501e-07,-28.37214979508633,True,-418.72790757033283,-424.05687036454356,-436.92788052192736,-442.3263630580284,241.89256444920545,2.686090255580061
427,age_randomized,strong_monsoon_start,Strong monsoon starts,96,1.9976606763930391,0.08278344331133773,0.052389522095580884,96,0,25.046106852694614,0.24380335102482006,5.706247101209437,0.0031414735959692337,3175,95,16.52827466759436,0.00025759104338745617,-12.511843386623468,0.12550136788099506,26.200560364207035,2.8830245992110914e-05,-18.1727642561043,True,-408.77421576340794,-417.0383530972051,-421.87449594551146,-428.372671873997,9.223372627886754,3.542035837403699
427,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.193659557109807,0.02299540091981604,0.010397920415916816,100,0,221.0858557326278,0.20120429782835847,4.048316946460278,0.01708655106403269,3175,99,9.878421175275207,0.007160248530576642,-5.861989894304315,0.07197752142112156,31.732300693319758,2.169873534025278e-06,-23.704504585217023,True,-421.90361296438164,-426.84282355201924,-437.7697633110415,-442.3263630580298,230.23817656448452,2.565462591532381
428,age_randomized,strong_monsoon_start,Strong monsoon starts,96,1.9746866319548413,0.10037992401519696,0.0653869226154769,96,0,21.95747044541185,0.25551504741034387,6.267642187498586,0.001764729440754692,3175,94,21.251779557134796,2.4279218517208254e-05,-17.235348276163904,0.16308423924012672,33.540773295818326,9.255726151887028e-07,-25.51297718771559,True,-402.5826624933961,-413.2085522719635,-419.3530491413053,-424.85820413133655,3.6720003415456306,4.277808798564361
428,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.199770085975178,0.022395520895820836,0.009598080383923215,100,0,235.04078436281569,0.19466431056269098,3.7894193806847802,0.022221728206229186,3175,98,10.887190425440167,0.004323909916819914,-6.870759144469275,0.08013722263263434,33.723391914769195,8.491436821533134e-07,-25.69559580666646,True,-418.0162264434292,-423.4598216561493,-434.8779224008138,-438.8533524003097,243.81345538307284,2.719892584342206
