order,start_time_ka_BP,original_value_in_table,transition_type,ks_window_kyr,relation_to_other_ks_window,paired_other_window_age_ka,difference_0p4_minus_0p6_ka,source_table,source_pdf_page,source_row_index_in_table,event_age_ka,event_index,event_type,event_label,ks_window_id,ks_window_label,source
68,377.45,377.45,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,377.25,0.2,Rousseau et al. 2023 Scientific Reports Table 1,7,144,377.45,68,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
69,390.8,390.8,strong_monsoon_start,0.4-4,common_same_date,390.8,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,146,390.8,69,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
70,393.6,393.6,strong_monsoon_start,0.4-4,common_same_date,393.6,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,147,393.6,70,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
71,412.25,412.25,strong_monsoon_start,0.4-4,common_same_date,412.25,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,149,412.25,71,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
72,426.05,426.05,strong_monsoon_start,0.4-4,common_same_date,426.05,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,150,426.05,72,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
73,447.4,447.4,strong_monsoon_start,0.4-4,common_same_date,447.4,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,153,447.4,73,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
74,449.45,449.45,strong_monsoon_start,0.4-4,common_same_date,449.45,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,154,449.45,74,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
75,458.9,458.9,strong_monsoon_start,0.4-4,common_same_date,458.9,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,157,458.9,75,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
76,463.15,463.15,strong_monsoon_start,0.4-4,common_same_date,463.15,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,159,463.15,76,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
77,465.95,465.95,strong_monsoon_start,0.4-4,common_same_date,465.95,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,160,465.95,77,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
78,472.75,472.75,strong_monsoon_start,0.4-4,common_same_date,472.75,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,162,472.75,78,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
79,483.65,483.65,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,484.15,-0.5,Rousseau et al. 2023 Scientific Reports Table 1,8,165,483.65,79,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
80,504.15,504.15,strong_monsoon_start,0.4-4,common_same_date,504.15,0.0,Rousseau et al. 2023 Scientific Reports Table 1,8,167,504.15,80,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
81,531.75,531.75,strong_monsoon_start,0.4-4,common_same_date,531.75,0.0,Rousseau et al. 2023 Scientific Reports Table 1,8,171,531.75,81,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
82,548.25,548.25,strong_monsoon_start,0.4-4,common_same_date,548.25,0.0,Rousseau et al. 2023 Scientific Reports Table 1,8,173,548.25,82,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
83,553.55,553.55,strong_monsoon_start,0.4-4,common_same_date,553.55,0.0,Rousseau et al. 2023 Scientific Reports Table 1,8,176,553.55,83,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
