variant_id,variant_label,event_type,detected_index,published_index,detected_age_ka,published_age_ka,age_error_ka,abs_age_error_ka
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,175,77,472.6985277598817,472.75,-0.05147224011830076,0.05147224011830076
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,51,119,73.34795,73.4,-0.05205000000000837,0.05205000000000837
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,63,125,106.40205120534304,106.35,0.05205120534304797,0.05205120534304797
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,109,144,191.805,191.75,0.05500000000000682,0.05500000000000682
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,17,102,28.658499999999997,28.715,-0.056500000000003325,0.056500000000003325
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,131,156,259.707,259.65,0.05700000000001637,0.05700000000001637
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,62,27,105.08924325297926,105.15,-0.06075674702074707,0.06075674702074707
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,25,8,35.59625,35.535,0.06125000000000114,0.06125000000000114
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,127,153,249.98250000000002,250.05,-0.06749999999999545,0.06749999999999545
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,73,30,130.51999999999998,130.45,0.06999999999999318,0.06999999999999318
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,90,135,158.88,158.95,-0.06999999999999318,0.06999999999999318
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,26,107,36.678,36.75,-0.07200000000000273,0.07200000000000273
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,23,7,34.06775,33.995,0.0727499999999992,0.0727499999999992
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,210,92,627.62725,627.55,0.07725000000004911,0.07725000000004911
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,87,134,150.97,151.05,-0.0800000000000125,0.0800000000000125
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,30,10,41.6761,41.595,0.08109999999999928,0.08109999999999928
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,180,78,483.5680588494786,483.65,-0.08194115052140205,0.08194115052140205
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,128,52,251.23250000000002,251.15,0.08250000000001023,0.08250000000001023
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,50,21,72.199,72.285,-0.08599999999999852,0.08599999999999852
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,196,85,561.1559,561.25,-0.09410000000002583,0.09410000000002583
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,111,145,193.345,193.25,0.09499999999999886,0.09499999999999886
